,neighbourhood,area,rooms,bathrooms,rent
1739,,98,2,2,1667
1740,Gleba I,111,4,3,3300
1741,Centro,35,1,2,1112
1742,Jardim Bethania,115,3,1,2440
1743,Jardim Gibertoni,150,3,3,3700
1744,,146,3,4,2500
1745,Parque Sabará,63,2,2,1760
1746,Centro,60,2,3,1554
1747,Jardim Centenário,48,2,1,1400
1748,Parque Santa Felícia Jardim,80,3,1,1667
1749,,100,3,2,2000
1750,Centro,56,2,1,1900
1751,,80,2,2,1500
1752,Parque Arnold Schimidt,41,1,1,1112
1753,Jardim Nova Santa Paula,57,2,1,750
1754,Jardim Gibertoni,130,3,3,1000
1755,Centro,60,2,1,1900
1756,Parque Sabará,67,2,2,1900
1757,Jardim Gibertoni,70,2,1,1334
1758,Parque Santa Mônica,81,3,1,1300
1759,Jardim Nova São Carlos,42,2,1,640
1760,Parque Arnold Schimidt,63,2,2,1500
1761,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1762,,102,3,2,3111
1763,Parque Fehr,43,2,1,1334
1764,Jardim Bethania,60,2,2,1700
1765,Jardim Alvorada,60,2,1,880
1766,Jardim Alvorada,64,2,2,2500
1767,Jardim Santa Paula,66,2,2,1223
1768,Parque Arnold Schimidt,48,2,1,1100
1769,Parque Santa Mônica,82,1,1,1400
1770,Jardim Brasil,49,2,2,1000
1771,Vila Irene,42,2,1,600
1772,,64,3,2,1400
1773,Centro,44,1,1,1400
1774,Jardim Lutfalla,56,2,1,1555
1775,,98,2,2,1667
1776,Gleba I,111,4,3,3300
1777,Centro,35,1,2,1112
1778,Jardim Bethania,115,3,1,2440
1779,Jardim Gibertoni,150,3,3,3700
1780,,146,3,4,2500
1781,Parque Sabará,63,2,2,1760
1782,Centro,60,2,3,1554
1783,Jardim Centenário,48,2,1,1400
1784,Parque Santa Felícia Jardim,80,3,1,1667
1785,,100,3,2,2000
1786,Centro,56,2,1,1900
1787,,80,2,2,1500
1788,Parque Arnold Schimidt,41,1,1,1112
1789,Jardim Nova Santa Paula,57,2,1,750
1790,Jardim Gibertoni,130,3,3,1000
1791,Centro,60,2,1,1900
1792,Parque Sabará,67,2,2,1900
1793,Jardim Gibertoni,70,2,1,1334
1794,Parque Santa Mônica,81,3,1,1300
1795,Jardim Nova São Carlos,42,2,1,640
1796,Parque Arnold Schimidt,63,2,2,1500
1797,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1798,,102,3,2,3111
1799,Parque Fehr,43,2,1,1334
1800,Jardim Bethania,60,2,2,1700
1801,Jardim Alvorada,60,2,1,880
1802,Jardim Alvorada,64,2,2,2500
1803,Jardim Santa Paula,66,2,2,1223
1804,Parque Arnold Schimidt,48,2,1,1100
1805,Parque Santa Mônica,82,1,1,1400
1806,Jardim Brasil,49,2,2,1000
1807,Vila Irene,42,2,1,600
1808,,64,3,2,1400
1809,Centro,44,1,1,1400
1810,Jardim Lutfalla,56,2,1,1555
1811,,98,2,2,1667
1812,Gleba I,111,4,3,3300
1813,Centro,35,1,2,1112
1814,Jardim Bethania,115,3,1,2440
1815,Jardim Gibertoni,150,3,3,3700
1816,,146,3,4,2500
1817,Parque Sabará,63,2,2,1760
1818,Centro,60,2,3,1554
1819,Jardim Centenário,48,2,1,1400
1820,Parque Santa Felícia Jardim,80,3,1,1667
1821,,100,3,2,2000
1822,Centro,56,2,1,1900
1823,,80,2,2,1500
1824,Parque Arnold Schimidt,41,1,1,1112
1825,Jardim Nova Santa Paula,57,2,1,750
1826,Jardim Gibertoni,130,3,3,1000
1827,Centro,60,2,1,1900
1828,Parque Sabará,67,2,2,1900
1829,Jardim Gibertoni,70,2,1,1334
1830,Parque Santa Mônica,81,3,1,1300
1831,Jardim Nova São Carlos,42,2,1,640
1832,Parque Arnold Schimidt,63,2,2,1500
1833,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1834,,102,3,2,3111
1835,Parque Fehr,43,2,1,1334
1836,Jardim Bethania,60,2,2,1700
1837,Jardim Alvorada,60,2,1,880
1838,Jardim Alvorada,64,2,2,2500
1839,Jardim Santa Paula,66,2,2,1223
1840,Parque Arnold Schimidt,48,2,1,1100
1841,Parque Santa Mônica,82,1,1,1400
1842,Jardim Brasil,49,2,2,1000
1843,Vila Irene,42,2,1,600
1844,,64,3,2,1400
1845,Centro,44,1,1,1400
1846,Jardim Lutfalla,56,2,1,1555
1847,,98,2,2,1667
1848,Gleba I,111,4,3,3300
1849,Centro,35,1,2,1112
1850,Jardim Bethania,115,3,1,2440
1851,Jardim Gibertoni,150,3,3,3700
1852,,146,3,4,2500
1853,Parque Sabará,63,2,2,1760
1854,Centro,60,2,3,1554
1855,Jardim Centenário,48,2,1,1400
1856,Parque Santa Felícia Jardim,80,3,1,1667
1857,,100,3,2,2000
1858,Centro,56,2,1,1900
1859,,80,2,2,1500
1860,Parque Arnold Schimidt,41,1,1,1112
1861,Jardim Nova Santa Paula,57,2,1,750
1862,Jardim Gibertoni,130,3,3,1000
1863,Centro,60,2,1,1900
1864,Parque Sabará,67,2,2,1900
1865,Jardim Gibertoni,70,2,1,1334
1866,Parque Santa Mônica,81,3,1,1300
1867,Jardim Nova São Carlos,42,2,1,640
1868,Parque Arnold Schimidt,63,2,2,1500
1869,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1870,,102,3,2,3111
1871,Parque Fehr,43,2,1,1334
1872,Jardim Bethania,60,2,2,1700
1873,Jardim Alvorada,60,2,1,880
1874,Jardim Alvorada,64,2,2,2500
1875,Jardim Santa Paula,66,2,2,1223
1876,Parque Arnold Schimidt,48,2,1,1100
1877,Parque Santa Mônica,82,1,1,1400
1878,Jardim Brasil,49,2,2,1000
1879,Vila Irene,42,2,1,600
1880,,64,3,2,1400
1881,Centro,44,1,1,1400
1882,Jardim Lutfalla,56,2,1,1555
1883,,98,2,2,1667
1884,Gleba I,111,4,3,3300
1885,Centro,35,1,2,1112
1886,Jardim Bethania,115,3,1,2440
1887,Jardim Gibertoni,150,3,3,3700
1888,,146,3,4,2500
1889,Parque Sabará,63,2,2,1760
1890,Centro,60,2,3,1554
1891,Jardim Centenário,48,2,1,1400
1892,Parque Santa Felícia Jardim,80,3,1,1667
1893,,100,3,2,2000
1894,Centro,56,2,1,1900
1895,,80,2,2,1500
1896,Parque Arnold Schimidt,41,1,1,1112
1897,Jardim Nova Santa Paula,57,2,1,750
1898,Jardim Gibertoni,130,3,3,1000
1899,Centro,60,2,1,1900
1900,Parque Sabará,67,2,2,1900
1901,Jardim Gibertoni,70,2,1,1334
1902,Parque Santa Mônica,81,3,1,1300
1903,Jardim Nova São Carlos,42,2,1,640
1904,Parque Arnold Schimidt,63,2,2,1500
1905,Residencial Monsenhor Romeu Tortorelli,42,2,1,660
1906,,102,3,2,3111
1907,Parque Fehr,43,2,1,1334
1908,Jardim Bethania,60,2,2,1700
1909,Jardim Alvorada,60,2,1,880
1910,Jardim Alvorada,64,2,2,2500
